name,team
מנואל אקנג'י,שווייץ
מריו פרננדס,רוסיה
מרסל הלסטנברג,גרמניה
נונו מנדש,פורטוגל
ניקו אלבדי,שווייץ
סטפן דה פריי,הולנד
סיימון קיאר,דנמרק
ססאר אספיליקווטה,ספרד
פביאן שר,שווייץ
קורט זומה,צרפת
קמיל גליק,פולין
רובין גוסנס,גרמניה
ריקרדו רודריגס,שווייץ
שימה ורסאליקו,קרואטיה
תומאס ורמאלן,בלגיה
אוזן קאבאק,טורקיה
אלכסנדר דרגוביץ',אוסטריה
אלכסנדר קראבייב,אוקראינה
אמיל קראפט,שבדיה
אנדי רוברטסון,סקוטלנד
אנדראס אולמר,אוסטריה
אנדראס גראנקוויסט,שבדיה
אנדריי סמנוב,רוסיה
בן דייויס,וויילס
ג'ובאני די לורנצו,איטליה
גיאורגי דז'יקיה,רוסיה
דדריק בויאטה,בלגיה
דוייה צ'אלטה-צאר,קרואטיה
ויטלי מיקולנקו,אוקראינה
ולדימיר צופאל,צ`כיה
ז'ול קונדה,צרפת
זקי צ'ליק,טורקיה
חוסה גאיה,ספרד
טיירון מינגס,אנגליה
טימותי קסטאן,בלגיה
יאניק וסטרגארד,דנמרק
יואקים אנדרסן,דנמרק
יורי ז'ירקוב,רוסיה
לאו דובואה,צרפת
לוק שואו,אנגליה
לוקאס קלוסטרמן,גרמניה
מאצ'יי ריבוס,פולין
מיכל הליק,פולין
מילאן שקריניאר,סלובקיה
מיקאל לוסטיג,שבדיה
מיקולה מטביינקו,אוקראינה
מרטין הינטרגר,אוסטריה
מריח דמיראל,טורקיה
נייתן אקה,הולנד
נלסון סמדו,פורטוגל
נקו וויליאמס,וויילס
סילבן ווידמר,שווייץ
סרגיי קריבצוב,אוקראינה
פדור קודריאשוב,רוסיה
פטר פקאריק,סלובקיה
פרנצ'סקו אצ'רבי,איטליה
צ'לאר סויונג'ו,טורקיה
קאן אייהאן,טורקיה
קווין אמבאבו,שווייץ
קירן טריפייר,אנגליה
קלמון לנגלה,צרפת
רפאל טולוי,איטליה
שטפן ליינר,אוסטריה
תומאש קדזיורה,פולין
אדם לאנג,הונגריה
אומוט מראש,טורקיה
אונדרי צ'לוסטקה,צ`כיה
אזגיאן אליוסקי,צפון מקדוניה
ג'ו רודון,וויילס
ג'יימס לורנס,וויילס
גרנט הנלי,סקוטלנד
דומאגוי בראדריץ',קרואטיה
דייגו יורנטה,ספרד
דניס ואברו,סלובקיה
דניס פופוב,אוקראינה
ויאצ'יסלב קרבאייב,רוסיה
טימותיש פושאץ',פולין
יאן בוז'יל,צ`כיה
יוריין טימבר,הולנד
ינס סטרייגר לארסן,דנמרק
ירה אורונן,פינלנד
כריס מפהאם,וויילס
כריסטיאן גאנטר,גרמניה
לובומיר שאטקה,סלובקיה
לוריס בניטו,שווייץ
מרט מולדר,טורקיה
מרטין אולסון,שבדיה
מתיאס זאנקה,דנמרק
סטפן ריסטובסקי,צפון מקדוניה
פאבל דוידוביץ',פולין
פאבל קדז'אבק,צ`כיה
פונטוס ינסון,שבדיה
פטריק ואן אנהולט,הולנד
פיליפ הלנדר,שבדיה
פיליפ לינהרט,אוסטריה
קונור קודי,אנגליה
קונור רוברטס,וויילס
קירן טיירני,סקוטלנד
קמיל פיאטקובסקי,פולין
רובין קוך,גרמניה
רידבאן אילמאז,טורקיה
ריס ג'יימס,אנגליה
שטפן פוש,אוסטריה
תומאס קאלאס,צ`כיה
אדוארד סובול,אוקראינה
אטילה סאלאי,הונגריה
אטילה פיולה,הונגריה
איגור דיבייב,רוסיה
איליה זבארני,אוקראינה
אלכסנדר טימצ'יק,אוקראינה
אראי קומארט,שווייץ
בצ'יר אומרגיץ',שווייץ
ג'ורדן לוטומבה,שווייץ
גרגו לוברנצ'יץ',הונגריה
דויד זימה,צ`כיה
דרקו ולקובסקי,צפון מקדוניה
ווילי אורבאן,הונגריה
ויסר מוסליו,צפון מקדוניה
יאקוב ברבץ,צ`כיה
יאקוב הולובק,סלובקיה
יוסיפ יוראנוביץ',קרואטיה
יושקו גברדיול,קרואטיה
כריס גאנטר,וויילס
כריסטופר טרימל,אוסטריה
לויק נגו,הונגריה
ליאו ואיסנן,פינלנד
ליאם קופר,סקוטלנד
מרכוס דניאלסון,שבדיה
מרקו פרידל,אוסטריה
ניקולאי אלהו,פינלנד
