Player,Apps,Mins,Goals,Assists,SpG,Rating,Apps_percentage,Mins_percentage,Goals_percentage,Assists_percentage,GnA_percentage
Kristoffer Nordfeldt,2,180,0,0,0,6.98,0.250,0.258,0.000,0.000,0.000
Kristoffer Olsson,8,698,0,0,0.5,6.58,1.000,1.000,0.000,0.000,0.000
Ludwig Augustinsson,4,353,1,0,0.5,6.755,0.500,0.506,0.111,0.000,0.067
Marcus Berg,6,557,1,0,0.85,6.375,0.750,0.798,0.111,0.000,0.067
Marcus Danielson,2,180,1,0,1,6.79,0.250,0.258,0.111,0.000,0.067
Martin Olsson,0,2,0,0,0,6.01,0.000,0.003,0.000,0.000,0.000
Mattias Johansson,0,36,0,0,0,6.4,0.000,0.052,0.000,0.000,0.000
Mattias Svanberg,0,29,0,0,0.5,6.11,0.000,0.042,0.000,0.000,0.000
Pierre Bengtsson,4,365,0,1,0.15,6.265,0.500,0.523,0.000,0.167,0.067
Pontus Jansson,4,360,0,0,0.3,6.03,0.500,0.516,0.000,0.000,0.000
Robin Olsen,6,540,0,0,0,6.39,0.750,0.774,0.000,0.000,0.000
Robin Quaison,2,210,1,0,0.65,6.185,0.250,0.301,0.111,0.000,0.067
Sebastian Larsson,5,436,1,1,0.85,6.85,0.625,0.625,0.111,0.167,0.133
Victor Lindelöf,7,606,0,0,0.35,6.875,0.875,0.868,0.000,0.000,0.000
Viktor Claesson,4,354,2,0,1,6.955,0.500,0.507,0.222,0.000,0.133
Zlatan Ibrahimovic,2,151,0,2,3,7.81,0.250,0.216,0.000,0.333,0.133
Abdülkadir Ömür,0,13,0,0,0,5.98,0.000,0.019,0.000,0.000,0.000
Ahmed Kutucu,1,46,0,0,1,6.2,0.125,0.068,0.000,0.000,0.000
Berkay Özcan,0,19,0,0,0,6.03,0.000,0.028,0.000,0.000,0.000
Burak Yilmaz,6,548,4,0,2.4,7.025,0.750,0.808,0.250,0.000,0.160
