name,price,points,position,team,team_pr,team_GF,team_GA,opponent,opponent_pr,opponent_GF,opponent_GA,Apps,Mins,Goals,Assists,SpG,Rating,Apps%,Mins%,Goals%,Assists%,GnA%,name_e
ג'יימס פורסט,6,0,M,סקוטלנד,0.18797231776519688,0,0,צ`כיה,0.4328339833197214,0,0,1,90,0,0,1.0,6.3,0.125,0.125,0.0,0.0,0.0,James Forrest
ג'נגיז אונדר,6,0,M,טורקיה,0.6337932201305448,0,0,איטליה,0.9208837109446589,0,0,2,226,1,0,2.8,7.12,0.25,0.3333333333333333,0.0625,0.0,0.04,Cengiz Ünder
גז'גוז' קריכוביאק,6,0,M,פולין,0.43606352344699884,0,0,סלובקיה,0.12769003786816638,0,0,8,678,0,1,1.05,6.675,1.0,0.901595744680851,0.0,0.07692307692307693,0.038461538461538464,Grzegorz Krychowiak
גרניט ג'אקה,6,0,M,שווייץ,0.6347220497687727,0,0,וויילס,0.43758096347044995,0,0,7,630,0,1,1.1,6.965,1.0,1.0,0.0,0.125,0.05555555555555555,Granit Xhaka
דייויד ברוקס,6,0,M,וויילס,0.43758096347044995,0,0,שווייץ,0.6347220497687727,0,0,2,178,1,0,1.5,6.73,0.25,0.24722222222222223,0.1111111111111111,0.0,0.05555555555555555,David Brooks
דניאל ג'יימס,6,0,M,וויילס,0.43758096347044995,0,0,שווייץ,0.6347220497687727,0,0,8,670,2,2,1.6,7.035,1.0,0.9305555555555556,0.2222222222222222,0.2222222222222222,0.2222222222222222,Daniel James
דניס פראט,6,0,M,בלגיה,0.9179063105527637,0,0,רוסיה,0.366186018983931,0,0,1,111,1,1,0.75,7.9,0.1111111111111111,0.13703703703703704,0.03571428571428571,0.05,0.041666666666666664,Dennis Praet
דניס צ'רישב,6,0,M,רוסיה,0.366186018983931,0,0,בלגיה,0.9179063105527637,0,0,1,86,1,0,1.7,6.17,0.125,0.1209563994374121,0.06666666666666667,0.0,0.038461538461538464,Denis Cheryshev
דקלאן רייס,6,0,M,אנגליה,0.8693609080358129,0,0,קרואטיה,0.5556789126350667,0,0,8,706,1,0,0.5,7.27,1.0,1.0,0.0625,0.0,0.034482758620689655,Declan Rice
ויקטור קובלנקו,6,0,M,אוקראינה,0.398685614063681,0,0,הולנד,0.7444165802422154,0,0,1,142,0,0,0.0,6.16,0.14285714285714285,0.2253968253968254,0.0,0.0,0.0,Viktor Kovalenko
ולדימיר דארידה,6,0,M,צ`כיה,0.4328339833197214,0,0,סקוטלנד,0.18797231776519688,0,0,7,624,1,3,1.65,7.359999999999999,1.0,0.9904761904761905,0.06666666666666667,0.25,0.14814814814814814,Vladimír Darida
ז'ואאו מוטיניו,6,0,M,פורטוגל,0.823428402144593,0,0,הונגריה,0.15166163251232578,0,0,4,321,0,0,0.25,6.9350000000000005,0.4444444444444444,0.3962962962962963,0.0,0.0,0.0,João Moutinho
יאקוב יאנקטו,6,0,M,צ`כיה,0.4328339833197214,0,0,סקוטלנד,0.18797231776519688,0,0,6,432,1,3,2.65,7.025,0.8571428571428571,0.6857142857142857,0.06666666666666667,0.25,0.14814814814814814,Jakub Jankto
יאקוב מודר,6,0,M,פולין,0.43606352344699884,0,0,סלובקיה,0.12769003786816638,0,0,4,318,1,0,0.4,6.5600000000000005,0.5,0.4228723404255319,0.07692307692307693,0.0,0.038461538461538464,Jakub Moder
לאנדר דנדונקר,6,0,M,בלגיה,0.9179063105527637,0,0,רוסיה,0.366186018983931,0,0,3,296,0,1,0.15,6.835,0.3333333333333333,0.3654320987654321,0.0,0.05,0.020833333333333332,Leander Dendoncker
לאנדרו טרוסארד,6,0,M,בלגיה,0.9179063105527637,0,0,רוסיה,0.366186018983931,0,0,2,196,2,0,0.9,6.800000000000001,0.2222222222222222,0.2419753086419753,0.07142857142857142,0.0,0.041666666666666664,Leandro Trossard
לואיס שאוב,6,0,M,אוסטריה,0.4274293041742171,0,0,צפון מקדוניה,0.02757270071027259,0,0,1,119,1,0,0.75,6.785,0.1111111111111111,0.14949748743718594,0.07142857142857142,0.0,0.04,Louis Schaub
מוסא סיסוקו,6,0,M,צרפת,0.9571898174009289,0,0,גרמניה,0.7603312730167239,0,0,2,189,0,0,0.0,6.36,0.2222222222222222,0.23333333333333334,0.0,0.0,0.0,Moussa Sissoko
מריו פשאליץ',6,0,M,קרואטיה,0.5556789126350667,0,0,אנגליה,0.8693609080358129,0,0,5,379,1,0,1.6,6.425000000000001,0.5555555555555556,0.4679012345679012,0.08333333333333333,0.0,0.05,Mario Pasalic
מרקו וראטי,6,0,M,איטליה,0.9208837109446589,0,0,טורקיה,0.6337932201305448,0,0,4,324,0,0,0.5,7.175,0.4444444444444444,0.4,0.0,0.0,0.0,Marco Verratti
מתאו פסינה,6,0,M,איטליה,0.9208837109446589,0,0,טורקיה,0.6337932201305448,0,0,1,70,0,0,0.7,6.32,0.1111111111111111,0.08641975308641975,0.0,0.0,0.0,Matteo Pessina
מתאו קובאצ'יץ',6,0,M,קרואטיה,0.5556789126350667,0,0,אנגליה,0.8693609080358129,0,0,7,638,2,1,0.5,7.18,0.7777777777777778,0.7876543209876543,0.16666666666666666,0.125,0.15,Mateo Kovacic
ניקולו בארלה,6,0,M,איטליה,0.9208837109446589,0,0,טורקיה,0.6337932201305448,0,0,7,673,1,1,0.6,7.02,0.7777777777777778,0.8308641975308642,0.07692307692307693,0.1,0.08695652173913043,Nicolò Barella
סקוט מקטומיניי,6,0,M,סקוטלנד,0.18797231776519688,0,0,צ`כיה,0.4328339833197214,0,0,8,720,0,0,1.05,6.895,1.0,1.0,0.0,0.0,0.0,Scott McTominay
סרגיי סידורצ'וק,6,0,M,אוקראינה,0.398685614063681,0,0,הולנד,0.7444165802422154,0,0,4,317,1,0,0.25,6.76,0.5714285714285714,0.5031746031746032,0.125,0.0,0.06666666666666667,Serhiy Sydorchuk
סרחיו בוסקטס,6,0,M,ספרד,0.7863741106464169,0,0,שבדיה,0.6155543021008592,0,0,5,374,0,0,0.15,7.175000000000001,0.7142857142857143,0.5834633385335414,0.0,0.0,0.0,Sergio Busquets
פביאן רואיס,6,0,M,ספרד,0.7863741106464169,0,0,שבדיה,0.6155543021008592,0,0,3,290,0,3,0.9,6.73,0.42857142857142855,0.45241809672386896,0.0,0.1875,0.08571428571428572,Fabián Ruiz
פלוריאן נויהאוס,6,0,M,גרמניה,0.7603312730167239,0,0,צרפת,0.9571898174009289,0,0,0,49,0,0,0.0,5.984999999999999,0.0,0.06684856753069578,0.0,0.0,0.0,Florian Neuhaus
קן סמה,6,0,M,שבדיה,0.6155543021008592,0,0,ספרד,0.7863741106464169,0,0,0,2,0,0,0.0,6.15,0.0,0.0028653295128939827,0.0,0.0,0.0,Ken Sema
רובן ורגאס,6,0,M,שווייץ,0.6347220497687727,0,0,וויילס,0.43758096347044995,0,0,2,218,0,0,1.5,6.545,0.2857142857142857,0.346031746031746,0.0,0.0,0.0,Ruben Vargas
רובן נבס,6,0,M,פורטוגל,0.823428402144593,0,0,הונגריה,0.15166163251232578,0,0,2,194,0,0,1.0,6.545,0.2222222222222222,0.23950617283950618,0.0,0.0,0.0,Rúben Neves
רוברט מאק,6,0,M,סלובקיה,0.12769003786816638,0,0,פולין,0.43606352344699884,0,0,4,312,2,1,0.85,7.029999999999999,0.5714285714285714,0.49523809523809526,0.2222222222222222,0.14285714285714285,0.1875,Róbert Mak
רוברט סקוב,6,0,M,דנמרק,0.7458117240666777,0,0,פינלנד,0.04697682260816799,0,0,4,350,2,0,1.75,7.145,0.4444444444444444,0.45691906005221933,0.1,0.0,0.06451612903225806,Robert Skov
רמו פרוילר,6,0,M,שווייץ,0.6347220497687727,0,0,וויילס,0.43758096347044995,0,0,5,413,2,1,0.6,7.0,0.7142857142857143,0.6555555555555556,0.2,0.125,0.16666666666666666,Remo Freuler
אוני ולאקארי,5,0,M,פינלנד,0.04697682260816799,0,0,דנמרק,0.7458117240666777,0,0,1,63,0,0,0.5,6.13,0.125,0.08923512747875353,0.0,0.0,0.0,Onni Valakari
אירפאן קאבג'י,5,0,M,טורקיה,0.6337932201305448,0,0,איטליה,0.9208837109446589,0,0,1,97,0,0,0.0,6.29,0.125,0.1430678466076696,0.0,0.0,0.0,Irfan Can Kahveci
אלכסיי איאונוב,5,0,M,רוסיה,0.366186018983931,0,0,בלגיה,0.9179063105527637,0,0,5,370,0,0,0.5,5.8149999999999995,0.625,0.5203938115330521,0.0,0.0,0.0,Aleksey Ionov
