name,price,points,position,team,Apps,Mins,Goals,Assists,SpG,Rating,Apps_percentage,Mins_percentage,Goals_percentage,Assists_percentage,GnA_percentage,name_e,is_penalty_taker,is_starter,team_pr,team_gfpg,team_gapg,opponent,gfpg,gapg,opponent_gfpg,opponent_gapg,pr_diff,pred_GF,pred_GA,pred_score,pred_points
דומיניק ליבאקוביץ',7,0,GK,קרואטיה,9,810,0,0,0.0,6.39,1.0,1.0,0.0,0.0,0.0,Dominik Livakovic,0,1,0.556,1.7,1.05,אנגליה,1.7,1.05,3.7,0.8999999999999999,-0.313,1.08,2.982,"(1, 2)",1.0
ווייצ'ך שצ'סני,7,0,GK,פולין,6,540,0,0,0.0,6.45,0.75,0.718,0.0,0.0,0.0,Wojciech Szczesny,0,1,0.436,1.44,0.6,סלובקיה,1.44,0.6,1.2,1.44,0.308,1.8,0.75,"(1, 0)",6.0
לוקאש פביאנסקי,6,0,GK,פולין,3,270,0,0,0.0,6.61,0.375,0.359,0.0,0.0,0.0,Lukasz Fabianski,0,0,0.436,1.44,0.6,סלובקיה,1.44,0.6,1.2,1.44,0.308,1.8,0.75,"(1, 0)",0.0
יאן זומר,7,0,GK,שווייץ,7,630,0,0,0.0,6.475,1.0,1.0,0.0,0.0,0.0,Yann Sommer,0,1,0.635,1.9,0.8999999999999999,וויילס,1.9,0.8999999999999999,1.0,0.8999999999999999,0.197,1.606,0.842,"(1, 0)",6.0
קספר שמייכל,7,0,GK,דנמרק,9,766,0,0,0.0,6.65,1.0,1.0,0.0,0.0,0.0,Kasper Schmeichel,0,1,0.746,2.3,0.8999999999999999,פינלנד,2.3,0.8999999999999999,1.28,1.2,0.699,3.207,0.749,"(3, 0)",6.0
אואורג'אן צ'אקיר,6,0,GK,טורקיה,4,360,0,0,0.0,6.6,0.5,0.531,0.0,0.0,0.0,Ugurcan Çakir,0,1,0.634,1.44,0.36,איטליה,1.44,0.36,2.96,0.48,-0.287,0.809,2.041,"(0, 2)",1.0
אלכסנדר שלאגר,6,0,GK,אוסטריה,5,450,0,0,0.0,5.705,0.556,0.565,0.0,0.0,0.0,Alexander Schlager,0,0,0.427,1.52,1.08,צפון מקדוניה,1.52,1.08,1.0,1.4000000000000041,0.399,1.971,0.826,"(1, 0)",0.0
פאבאו פרבאן,3,0,GK,אוסטריה,4,360,0,0,0.0,6.7,0.444,0.452,0.0,0.0,0.0,Pavao Pervan,0,0,0.427,1.52,1.08,צפון מקדוניה,1.52,1.08,1.0,1.4000000000000041,0.399,1.971,0.826,"(1, 0)",0.0
אנטון שונין,6,0,GK,רוסיה,7,630,0,0,0.0,6.655,0.875,0.886,0.0,0.0,0.0,Anton Shunin,0,1,0.366,2.0,0.96,בלגיה,2.0,0.96,3.2,0.36,-0.552,0.868,3.244,"(0, 3)",0.0
גיאורגי בושצ'אן,6,0,GK,אוקראינה,4,360,0,0,0.0,7.04,0.571,0.571,0.0,0.0,0.0,Georgi Bushchan,0,1,0.399,1.7,0.6,הולנד,1.7,0.6,2.4,1.05,-0.345,1.123,1.934,"(1, 1)",2.0
אנטולי טרובין,5,0,GK,אוקראינה,1,90,0,0,0.0,5.96,0.143,0.143,0.0,0.0,0.0,Anatolii Trubin,0,0,0.399,1.7,0.6,הולנד,1.7,0.6,2.4,1.05,-0.345,1.123,1.934,"(1, 1)",0.0
אנדרי פיאטוב,3,0,GK,אוקראינה,3,270,0,0,0.0,6.12,0.429,0.429,0.0,0.0,0.0,Andriy Pyatov,0,0,0.399,1.7,0.6,הולנד,1.7,0.6,2.4,1.05,-0.345,1.123,1.934,"(1, 1)",0.0
רובין אולסן,6,0,GK,שבדיה,6,540,0,0,0.0,6.39,0.75,0.774,0.0,0.0,0.0,Robin Olsen,0,1,0.616,1.84,1.08,ספרד,1.84,1.08,2.48,0.6,-0.17,1.099,2.001,"(1, 2)",1.0
כריסטופר נורדפלט,3,0,GK,שבדיה,2,180,0,0,0.0,6.98,0.25,0.258,0.0,0.0,0.0,Kristoffer Nordfeldt,0,0,0.616,1.84,1.08,ספרד,1.84,1.08,2.48,0.6,-0.17,1.099,2.001,"(1, 2)",0.0
תומאש ואצליק,6,0,GK,צ`כיה,7,586,0,0,0.0,6.48,1.0,0.93,0.0,0.0,0.0,Tomás Vaclik,0,1,0.433,1.3,1.65,סקוטלנד,1.3,1.65,1.133,2.000000000000004,0.245,1.963,1.2,"(1, 1)",2.0
אלש מנדוס,3,0,GK,צ`כיה,1,90,0,0,0.0,5.91,0.143,0.143,0.0,0.0,0.0,Ales Mandous,0,0,0.433,1.3,1.65,סקוטלנד,1.3,1.65,1.133,2.000000000000004,0.245,1.963,1.2,"(1, 1)",0.0
תומאש קובק,3,0,GK,צ`כיה,0,45,0,0,0.0,6.54,0.0,0.071,0.0,0.0,0.0,Tomás Koubek,0,0,0.433,1.3,1.65,סקוטלנד,1.3,1.65,1.133,2.000000000000004,0.245,1.963,1.2,"(1, 1)",0.0
טים קרול,5,0,GK,הולנד,5,450,0,0,0.0,6.225,0.556,0.556,0.0,0.0,0.0,Tim Krul,0,1,0.744,2.4,1.05,אוקראינה,2.4,1.05,1.7,0.6,0.345,1.934,1.123,"(1, 1)",2.0
מרטין דוברבקה,5,0,GK,סלובקיה,1,90,0,0,0.0,7.3,0.143,0.143,0.0,0.0,0.0,Martin Dúbravka,0,1,0.128,1.2,1.44,פולין,1.2,1.44,1.44,0.6,-0.308,0.75,1.8,"(0, 1)",2.0
דושאן קוציאק,3,0,GK,סלובקיה,3,270,0,0,0.0,6.135,0.429,0.429,0.0,0.0,0.0,Dusan Kuciak,0,0,0.128,1.2,1.44,פולין,1.2,1.44,1.44,0.6,-0.308,0.75,1.8,"(0, 1)",0.0
מארק רודאק,3,0,GK,סלובקיה,3,270,0,0,0.0,7.28,0.429,0.429,0.0,0.0,0.0,Marek Rodák,0,0,0.128,1.2,1.44,פולין,1.2,1.44,1.44,0.6,-0.308,0.75,1.8,"(0, 1)",0.0
קרייג גורדון,5,0,GK,סקוטלנד,2,180,0,0,0.0,6.66,0.25,0.25,0.0,0.0,0.0,Craig Gordon,0,0,0.188,1.133,2.000000000000004,צ`כיה,1.133,2.000000000000004,1.3,1.65,-0.245,1.2,1.963,"(1, 1)",0.0
ג'ון מקלולין,3,0,GK,סקוטלנד,4,406,0,0,0.55,6.735,0.5,0.564,0.0,0.0,0.0,Kenny McLean,0,0,0.188,1.133,2.000000000000004,צ`כיה,1.133,2.000000000000004,1.3,1.65,-0.245,1.2,1.963,"(1, 1)",0.0
דייויד מרשל,3,0,GK,סקוטלנד,7,630,0,0,0.0,6.62,0.875,0.875,0.0,0.0,0.0,David Marshall,0,1,0.188,1.133,2.000000000000004,צ`כיה,1.133,2.000000000000004,1.3,1.65,-0.245,1.2,1.963,"(1, 1)",2.0
וויין הנסי,4,0,GK,וויילס,4,360,0,0,0.0,6.58,0.5,0.5,0.0,0.0,0.0,Danny Ward,0,0,0.438,1.0,0.8999999999999999,שווייץ,1.0,0.8999999999999999,1.9,0.8999999999999999,-0.197,0.842,1.606,"(0, 1)",0.0
אדם דייויס,3,0,GK,וויילס,0,11,0,0,0.0,6.13,0.0,0.015,0.0,0.0,0.0,Adam Davies,0,0,0.438,1.0,0.8999999999999999,שווייץ,1.0,0.8999999999999999,1.9,0.8999999999999999,-0.197,0.842,1.606,"(0, 1)",0.0
לוקאס הרדצקי,4,0,GK,פינלנד,6,540,0,0,0.2,7.03,0.75,0.765,0.0,0.0,0.0,Lukás Hrádecky,0,1,0.047,1.28,1.2,דנמרק,1.28,1.2,2.3,0.8999999999999999,-0.699,0.749,3.207,"(0, 3)",0.0
סטולה דימיטרייבסקי,4,0,GK,צפון מקדוניה,4,337,0,0,0.0,6.155,0.444,0.445,0.0,0.0,0.0,Stole Dimitrievski,0,1,0.028,1.0,1.4000000000000041,אוסטריה,1.0,1.4000000000000041,1.52,1.08,-0.399,0.826,1.971,"(0, 1)",2.0
דמיאן סיסקובסקי,3,0,GK,צפון מקדוניה,5,469,0,0,0.0,6.68,0.556,0.619,0.0,0.0,0.0,Damjan Siskovski,0,0,0.028,1.0,1.4000000000000041,אוסטריה,1.0,1.4000000000000041,1.52,1.08,-0.399,0.826,1.971,"(0, 1)",0.0
פיטר גולאצ'י,4,0,GK,הונגריה,4,360,0,0,0.0,6.015,0.5,0.5,0.0,0.0,0.0,Péter Gulácsi,0,1,0.152,1.04,1.56,פורטוגל,1.04,1.56,2.2,0.8999999999999999,-0.671,0.675,3.334,"(0, 3)",0.0
דנש דיבוס,3,0,GK,הונגריה,5,450,0,0,0.0,6.69,0.625,0.625,0.0,0.0,0.0,Dénes Dibusz,0,0,0.152,1.04,1.56,פורטוגל,1.04,1.56,2.2,0.8999999999999999,-0.671,0.675,3.334,"(0, 3)",0.0
הוגו לוריס,10,0,GK,צרפת,9,810,0,0,0.0,6.75,1.0,1.0,0.0,0.0,0.0,Hugo Lloris,0,1,0.957,2.0,0.72,הונגריה,2.0,0.72,1.04,1.56,0.805,3.734,0.578,"(3, 0)",6.0
אונאי סימון,9,0,GK,ספרד,5,450,0,0,0.0,6.12,0.714,0.702,0.0,0.0,0.0,Unai Simón,0,1,0.786,2.48,0.6,פולין,2.48,0.6,1.44,0.6,0.35,1.994,0.831,"(1, 0)",6.0
דויד דה חאה,6,0,GK,ספרד,4,360,0,0,0.0,6.92,0.571,0.562,0.0,0.0,0.0,David de Gea,0,0,0.786,2.48,0.6,פולין,2.48,0.6,1.44,0.6,0.35,1.994,0.831,"(1, 0)",0.0
טיבו קורטואה,9,0,GK,בלגיה,4,360,0,0,0.0,6.385,0.444,0.444,0.0,0.0,0.0,Thibaut Courtois,0,1,0.918,3.2,0.36,דנמרק,3.2,0.36,2.3,0.8999999999999999,0.172,2.308,1.196,"(2, 1)",2.0
סיימון מיניולה,4,0,GK,בלגיה,4,395,0,0,0.0,6.565,0.444,0.488,0.0,0.0,0.0,Simon Mignolet,0,0,0.918,3.2,0.36,דנמרק,3.2,0.36,2.3,0.8999999999999999,0.172,2.308,1.196,"(2, 1)",0.0
מנואל נוייר,9,0,GK,גרמניה,6,540,0,0,0.0,6.505,0.75,0.737,0.0,0.0,0.0,Manuel Neuer,0,1,0.76,3.0,1.05,פורטוגל,3.0,1.05,2.2,0.8999999999999999,-0.063,1.873,1.694,"(1, 1)",2.0
ברנד לנו,5,0,GK,גרמניה,1,90,0,0,0.0,6.96,0.125,0.123,0.0,0.0,0.0,Bernd Leno,0,0,0.76,3.0,1.05,פורטוגל,3.0,1.05,2.2,0.8999999999999999,-0.063,1.873,1.694,"(1, 1)",0.0
קווין טראפ,3,0,GK,גרמניה,1,90,0,0,0.0,7.11,0.125,0.123,0.0,0.0,0.0,Kevin Trapp,0,0,0.76,3.0,1.05,פורטוגל,3.0,1.05,2.2,0.8999999999999999,-0.063,1.873,1.694,"(1, 1)",0.0
ג'אנלואיג'י דונארומה,8,0,GK,איטליה,9,810,0,0,0.0,6.865,1.0,1.0,0.0,0.0,0.0,Gianluigi Donnarumma,0,1,0.921,2.96,0.48,שווייץ,2.96,0.48,1.9,0.8999999999999999,0.286,2.371,1.003,"(2, 1)",2.0
ג'ורדן פיקפורד,8,0,GK,אנגליה,6,540,0,0,0.0,6.35,0.75,0.765,0.0,0.0,0.0,Jordan Pickford,0,1,0.869,3.7,0.8999999999999999,סקוטלנד,3.7,0.8999999999999999,1.133,2.000000000000004,0.681,5.113,0.705,"(5, 0)",6.0
רוי פטריסיו,8,0,GK,פורטוגל,4,360,0,0,0.0,6.91,0.444,0.444,0.0,0.0,0.0,Rui Patrício,0,1,0.823,2.2,0.8999999999999999,גרמניה,2.2,0.8999999999999999,3.0,1.05,0.063,1.694,1.873,"(1, 1)",2.0
אנתוני לופס,4,0,GK,פורטוגל,5,450,0,0,0.0,6.405,0.556,0.556,0.0,0.0,0.0,Anthony Lopes,0,0,0.823,2.2,0.8999999999999999,גרמניה,2.2,0.8999999999999999,3.0,1.05,0.063,1.694,1.873,"(1, 1)",0.0
דומיניק ליבאקוביץ',7,0,GK,קרואטיה,9,810,0,0,0.0,6.39,1.0,1.0,0.0,0.0,0.0,Dominik Livakovic,0,1,0.556,1.7,1.05,צ`כיה,1.7,1.05,1.3,1.65,0.123,1.821,1.088,"(1, 1)",2.0
ווייצ'ך שצ'סני,7,0,GK,פולין,6,540,0,0,0.0,6.45,0.75,0.718,0.0,0.0,0.0,Wojciech Szczesny,0,1,0.436,1.44,0.6,ספרד,1.44,0.6,2.48,0.6,-0.35,0.831,1.994,"(0, 1)",2.0
לוקאש פביאנסקי,6,0,GK,פולין,3,270,0,0,0.0,6.61,0.375,0.359,0.0,0.0,0.0,Lukasz Fabianski,0,0,0.436,1.44,0.6,ספרד,1.44,0.6,2.48,0.6,-0.35,0.831,1.994,"(0, 1)",0.0
יאן זומר,7,0,GK,שווייץ,7,630,0,0,0.0,6.475,1.0,1.0,0.0,0.0,0.0,Yann Sommer,0,1,0.635,1.9,0.8999999999999999,איטליה,1.9,0.8999999999999999,2.96,0.48,-0.286,1.003,2.371,"(1, 2)",1.0
קספר שמייכל,7,0,GK,דנמרק,9,766,0,0,0.0,6.65,1.0,1.0,0.0,0.0,0.0,Kasper Schmeichel,0,1,0.746,2.3,0.8999999999999999,בלגיה,2.3,0.8999999999999999,3.2,0.36,-0.172,1.196,2.308,"(1, 2)",1.0
אואורג'אן צ'אקיר,6,0,GK,טורקיה,4,360,0,0,0.0,6.6,0.5,0.531,0.0,0.0,0.0,Ugurcan Çakir,0,1,0.634,1.44,0.36,וויילס,1.44,0.36,1.0,0.8999999999999999,0.196,1.341,0.603,"(1, 0)",6.0
אלכסנדר שלאגר,6,0,GK,אוסטריה,5,450,0,0,0.0,5.705,0.556,0.565,0.0,0.0,0.0,Alexander Schlager,0,0,0.427,1.52,1.08,הולנד,1.52,1.08,2.4,1.05,-0.317,1.065,2.192,"(1, 2)",0.0
פאבאו פרבאן,3,0,GK,אוסטריה,4,360,0,0,0.0,6.7,0.444,0.452,0.0,0.0,0.0,Pavao Pervan,0,0,0.427,1.52,1.08,הולנד,1.52,1.08,2.4,1.05,-0.317,1.065,2.192,"(1, 2)",0.0
אנטון שונין,6,0,GK,רוסיה,7,630,0,0,0.0,6.655,0.875,0.886,0.0,0.0,0.0,Anton Shunin,0,1,0.366,2.0,0.96,פינלנד,2.0,0.96,1.28,1.2,0.319,2.019,0.928,"(2, 0)",6.0
גיאורגי בושצ'אן,6,0,GK,אוקראינה,4,360,0,0,0.0,7.04,0.571,0.571,0.0,0.0,0.0,Georgi Bushchan,0,1,0.399,1.7,0.6,צפון מקדוניה,1.7,0.6,1.0,1.4000000000000041,0.371,2.043,0.645,"(2, 0)",6.0
אנטולי טרובין,5,0,GK,אוקראינה,1,90,0,0,0.0,5.96,0.143,0.143,0.0,0.0,0.0,Anatolii Trubin,0,0,0.399,1.7,0.6,צפון מקדוניה,1.7,0.6,1.0,1.4000000000000041,0.371,2.043,0.645,"(2, 0)",0.0
אנדרי פיאטוב,3,0,GK,אוקראינה,3,270,0,0,0.0,6.12,0.429,0.429,0.0,0.0,0.0,Andriy Pyatov,0,0,0.399,1.7,0.6,צפון מקדוניה,1.7,0.6,1.0,1.4000000000000041,0.371,2.043,0.645,"(2, 0)",0.0
רובין אולסן,6,0,GK,שבדיה,6,540,0,0,0.0,6.39,0.75,0.774,0.0,0.0,0.0,Robin Olsen,0,1,0.616,1.84,1.08,סלובקיה,1.84,1.08,1.2,1.44,0.488,2.402,0.865,"(2, 0)",6.0
כריסטופר נורדפלט,3,0,GK,שבדיה,2,180,0,0,0.0,6.98,0.25,0.258,0.0,0.0,0.0,Kristoffer Nordfeldt,0,0,0.616,1.84,1.08,סלובקיה,1.84,1.08,1.2,1.44,0.488,2.402,0.865,"(2, 0)",0.0
תומאש ואצליק,6,0,GK,צ`כיה,7,586,0,0,0.0,6.48,1.0,0.93,0.0,0.0,0.0,Tomás Vaclik,0,1,0.433,1.3,1.65,קרואטיה,1.3,1.65,1.7,1.05,-0.123,1.088,1.821,"(1, 1)",2.0
אלש מנדוס,3,0,GK,צ`כיה,1,90,0,0,0.0,5.91,0.143,0.143,0.0,0.0,0.0,Ales Mandous,0,0,0.433,1.3,1.65,קרואטיה,1.3,1.65,1.7,1.05,-0.123,1.088,1.821,"(1, 1)",0.0
תומאש קובק,3,0,GK,צ`כיה,0,45,0,0,0.0,6.54,0.0,0.071,0.0,0.0,0.0,Tomás Koubek,0,0,0.433,1.3,1.65,קרואטיה,1.3,1.65,1.7,1.05,-0.123,1.088,1.821,"(1, 1)",0.0
טים קרול,5,0,GK,הולנד,5,450,0,0,0.0,6.225,0.556,0.556,0.0,0.0,0.0,Tim Krul,0,1,0.744,2.4,1.05,אוסטריה,2.4,1.05,1.52,1.08,0.317,2.192,1.065,"(2, 1)",2.0
מרטין דוברבקה,5,0,GK,סלובקיה,1,90,0,0,0.0,7.3,0.143,0.143,0.0,0.0,0.0,Martin Dúbravka,0,1,0.128,1.2,1.44,שבדיה,1.2,1.44,1.84,1.08,-0.488,0.865,2.402,"(0, 2)",1.0
דושאן קוציאק,3,0,GK,סלובקיה,3,270,0,0,0.0,6.135,0.429,0.429,0.0,0.0,0.0,Dusan Kuciak,0,0,0.128,1.2,1.44,שבדיה,1.2,1.44,1.84,1.08,-0.488,0.865,2.402,"(0, 2)",0.0
מארק רודאק,3,0,GK,סלובקיה,3,270,0,0,0.0,7.28,0.429,0.429,0.0,0.0,0.0,Marek Rodák,0,0,0.128,1.2,1.44,שבדיה,1.2,1.44,1.84,1.08,-0.488,0.865,2.402,"(0, 2)",0.0
קרייג גורדון,5,0,GK,סקוטלנד,2,180,0,0,0.0,6.66,0.25,0.25,0.0,0.0,0.0,Craig Gordon,0,0,0.188,1.133,2.000000000000004,אנגליה,1.133,2.000000000000004,3.7,0.8999999999999999,-0.681,0.705,5.113,"(0, 5)",-0.0
ג'ון מקלולין,3,0,GK,סקוטלנד,4,406,0,0,0.55,6.735,0.5,0.564,0.0,0.0,0.0,Kenny McLean,0,0,0.188,1.133,2.000000000000004,אנגליה,1.133,2.000000000000004,3.7,0.8999999999999999,-0.681,0.705,5.113,"(0, 5)",-0.0
דייויד מרשל,3,0,GK,סקוטלנד,7,630,0,0,0.0,6.62,0.875,0.875,0.0,0.0,0.0,David Marshall,0,1,0.188,1.133,2.000000000000004,אנגליה,1.133,2.000000000000004,3.7,0.8999999999999999,-0.681,0.705,5.113,"(0, 5)",-2.0
וויין הנסי,4,0,GK,וויילס,4,360,0,0,0.0,6.58,0.5,0.5,0.0,0.0,0.0,Danny Ward,0,0,0.438,1.0,0.8999999999999999,טורקיה,1.0,0.8999999999999999,1.44,0.36,-0.196,0.603,1.341,"(0, 1)",0.0
אדם דייויס,3,0,GK,וויילס,0,11,0,0,0.0,6.13,0.0,0.015,0.0,0.0,0.0,Adam Davies,0,0,0.438,1.0,0.8999999999999999,טורקיה,1.0,0.8999999999999999,1.44,0.36,-0.196,0.603,1.341,"(0, 1)",0.0
לוקאס הרדצקי,4,0,GK,פינלנד,6,540,0,0,0.2,7.03,0.75,0.765,0.0,0.0,0.0,Lukás Hrádecky,0,1,0.047,1.28,1.2,רוסיה,1.28,1.2,2.0,0.96,-0.319,0.928,2.019,"(0, 2)",1.0
סטולה דימיטרייבסקי,4,0,GK,צפון מקדוניה,4,337,0,0,0.0,6.155,0.444,0.445,0.0,0.0,0.0,Stole Dimitrievski,0,1,0.028,1.0,1.4000000000000041,אוקראינה,1.0,1.4000000000000041,1.7,0.6,-0.371,0.645,2.043,"(0, 2)",1.0
דמיאן סיסקובסקי,3,0,GK,צפון מקדוניה,5,469,0,0,0.0,6.68,0.556,0.619,0.0,0.0,0.0,Damjan Siskovski,0,0,0.028,1.0,1.4000000000000041,אוקראינה,1.0,1.4000000000000041,1.7,0.6,-0.371,0.645,2.043,"(0, 2)",0.0
פיטר גולאצ'י,4,0,GK,הונגריה,4,360,0,0,0.0,6.015,0.5,0.5,0.0,0.0,0.0,Péter Gulácsi,0,1,0.152,1.04,1.56,צרפת,1.04,1.56,2.0,0.72,-0.805,0.578,3.734,"(0, 3)",0.0
דנש דיבוס,3,0,GK,הונגריה,5,450,0,0,0.0,6.69,0.625,0.625,0.0,0.0,0.0,Dénes Dibusz,0,0,0.152,1.04,1.56,צרפת,1.04,1.56,2.0,0.72,-0.805,0.578,3.734,"(0, 3)",0.0
הוגו לוריס,10,0,GK,צרפת,9,810,0,0,0.0,6.75,1.0,1.0,0.0,0.0,0.0,Hugo Lloris,0,1,0.957,2.0,0.72,פורטוגל,2.0,0.72,2.2,0.8999999999999999,0.134,1.588,1.343,"(1, 1)",2.0
אונאי סימון,9,0,GK,ספרד,5,450,0,0,0.0,6.12,0.714,0.702,0.0,0.0,0.0,Unai Simón,0,1,0.786,2.48,0.6,סלובקיה,2.48,0.6,1.2,1.44,0.658,3.425,0.63,"(3, 0)",6.0
דויד דה חאה,6,0,GK,ספרד,4,360,0,0,0.0,6.92,0.571,0.562,0.0,0.0,0.0,David de Gea,0,0,0.786,2.48,0.6,סלובקיה,2.48,0.6,1.2,1.44,0.658,3.425,0.63,"(3, 0)",0.0
טיבו קורטואה,9,0,GK,בלגיה,4,360,0,0,0.0,6.385,0.444,0.444,0.0,0.0,0.0,Thibaut Courtois,0,1,0.918,3.2,0.36,פינלנד,3.2,0.36,1.28,1.2,0.871,5.071,0.524,"(5, 0)",6.0
סיימון מיניולה,4,0,GK,בלגיה,4,395,0,0,0.0,6.565,0.444,0.488,0.0,0.0,0.0,Simon Mignolet,0,0,0.918,3.2,0.36,פינלנד,3.2,0.36,1.28,1.2,0.871,5.071,0.524,"(5, 0)",0.0
מנואל נוייר,9,0,GK,גרמניה,6,540,0,0,0.0,6.505,0.75,0.737,0.0,0.0,0.0,Manuel Neuer,0,1,0.76,3.0,1.05,הונגריה,3.0,1.05,1.04,1.56,0.608,3.77,0.749,"(3, 0)",6.0
ברנד לנו,5,0,GK,גרמניה,1,90,0,0,0.0,6.96,0.125,0.123,0.0,0.0,0.0,Bernd Leno,0,0,0.76,3.0,1.05,הונגריה,3.0,1.05,1.04,1.56,0.608,3.77,0.749,"(3, 0)",0.0
קווין טראפ,3,0,GK,גרמניה,1,90,0,0,0.0,7.11,0.125,0.123,0.0,0.0,0.0,Kevin Trapp,0,0,0.76,3.0,1.05,הונגריה,3.0,1.05,1.04,1.56,0.608,3.77,0.749,"(3, 0)",0.0
ג'אנלואיג'י דונארומה,8,0,GK,איטליה,9,810,0,0,0.0,6.865,1.0,1.0,0.0,0.0,0.0,Gianluigi Donnarumma,0,1,0.921,2.96,0.48,וויילס,2.96,0.48,1.0,0.8999999999999999,0.483,2.813,0.563,"(2, 0)",6.0
ג'ורדן פיקפורד,8,0,GK,אנגליה,6,540,0,0,0.0,6.35,0.75,0.765,0.0,0.0,0.0,Jordan Pickford,0,1,0.869,3.7,0.8999999999999999,צ`כיה,3.7,0.8999999999999999,1.3,1.65,0.436,3.733,0.857,"(3, 0)",6.0
רוי פטריסיו,8,0,GK,פורטוגל,4,360,0,0,0.0,6.91,0.444,0.444,0.0,0.0,0.0,Rui Patrício,0,1,0.823,2.2,0.8999999999999999,צרפת,2.2,0.8999999999999999,2.0,0.72,-0.134,1.343,1.588,"(1, 1)",2.0
אנתוני לופס,4,0,GK,פורטוגל,5,450,0,0,0.0,6.405,0.556,0.556,0.0,0.0,0.0,Anthony Lopes,0,0,0.823,2.2,0.8999999999999999,צרפת,2.2,0.8999999999999999,2.0,0.72,-0.134,1.343,1.588,"(1, 1)",0.0
דומיניק ליבאקוביץ',7,0,GK,קרואטיה,9,810,0,0,0.0,6.39,1.0,1.0,0.0,0.0,0.0,Dominik Livakovic,0,1,0.556,1.7,1.05,סקוטלנד,1.7,1.05,1.133,2.000000000000004,0.368,2.432,0.881,"(2, 0)",6.0
ווייצ'ך שצ'סני,7,0,GK,פולין,6,540,0,0,0.0,6.45,0.75,0.718,0.0,0.0,0.0,Wojciech Szczesny,0,1,0.436,1.44,0.6,שבדיה,1.44,0.6,1.84,1.08,-0.18,1.128,1.382,"(1, 1)",2.0
