name,price,points,position,team,Apps,Mins,Goals,Assists,SpG,Rating,Apps_percentage,Mins_percentage,Goals_percentage,Assists_percentage,GnA_percentage,name_e,is_penalty_taker,is_starter,team_pr,team_gfpg,team_gapg,opponent,gfpg,gapg,opponent_gfpg,opponent_gapg,pr_diff,pred_GF,pred_GA,pred_score,round,pred_points
דייויד מרשל,3,7,GK,סקוטלנד,3,270,0,0,0.0,6.44,1.0,1.0,0.0,,0.0,David Marshall,0,1,0.15,1.133,2.000000000000004,קרואטיה,1.133,2.000000000000004,1.7,1.05,-0.294,0.917,2.287,"(0, 2)",3,1.396
דניאל באכמן,3,8,GK,אוסטריה,3,270,0,0,0.0,6.26,1.0,1.0,0.0,0.0,0.0,Daniel Bachmann,0,0,0.361,1.52,1.08,אוקראינה,1.52,1.08,1.7,0.6,0.052,1.097,1.345,"(1, 1)",3,0.0
מארטן סטקלנבורך,3,13,GK,הולנד,3,270,0,0,0.0,6.51,1.0,1.0,0.0,0.0,0.0,Maarten Stekelenburg,0,1,0.695,2.4,1.05,צפון מקדוניה,2.4,1.05,1.0,1.4000000000000041,0.635,3.235,0.726,"(3, 0)",3,6.396
הוגו לוריס,10,4,GK,צרפת,3,270,0,0,0.0,6.54,1.0,1.0,0.0,0.0,0.0,Hugo Lloris,0,1,0.925,2.0,0.72,שווייץ,2.0,0.72,1.9,0.8999999999999999,0.317,1.826,1.086,"(1, 1)",4,2.396
אונאי סימון,9,14,GK,ספרד,3,270,0,0,0.0,6.39,1.0,1.0,0.0,0.0,0.0,Unai Simón,0,1,0.711,2.48,0.6,קרואטיה,2.48,0.6,1.7,1.05,0.267,2.136,0.98,"(2, 0)",4,6.396
טיבו קורטואה,9,14,GK,בלגיה,3,270,0,0,0.0,6.96,1.0,1.0,0.0,0.0,0.0,Thibaut Courtois,0,1,0.893,3.2,0.36,פורטוגל,3.2,0.36,2.2,0.8999999999999999,0.133,2.244,1.178,"(2, 1)",4,2.396
מנואל נוייר,9,4,GK,גרמניה,3,270,0,0,0.0,6.01,1.0,1.0,0.0,0.0,0.0,Manuel Neuer,0,1,0.655,3.0,1.05,אנגליה,3.0,1.05,3.7,0.8999999999999999,-0.179,1.747,2.688,"(1, 2)",4,1.396
ג'אנלואיג'י דונארומה,8,18,GK,איטליה,3,269,0,0,0.0,6.77,1.0,1.0,0.0,0.0,0.0,Gianluigi Donnarumma,0,1,0.934,2.96,0.48,אוסטריה,2.96,0.48,1.52,1.08,0.573,3.219,0.729,"(3, 0)",4,6.396
סלבטורה סיריגו,4,1,GK,איטליה,0,1,0,0,0.0,6.04,0.0,0.004,0.0,0.0,0.0,Salvatore Sirigu,0,0,0.934,2.96,0.48,אוסטריה,2.96,0.48,1.52,1.08,0.573,3.219,0.729,"(3, 0)",4,0.0
ג'ורדן פיקפורד,8,18,GK,אנגליה,3,270,0,0,0.0,6.87,1.0,1.0,0.0,0.0,0.0,Jordan Pickford,0,1,0.834,3.7,0.8999999999999999,גרמניה,3.7,0.8999999999999999,3.0,1.05,0.179,2.688,1.747,"(2, 1)",4,2.396
רוי פטריסיו,8,6,GK,פורטוגל,3,270,0,0,0.0,6.71,1.0,1.0,0.0,0.0,0.0,Rui Patrício,0,1,0.76,2.2,0.8999999999999999,בלגיה,2.2,0.8999999999999999,3.2,0.36,-0.133,1.178,2.244,"(1, 2)",4,1.396
דומיניק ליבאקוביץ',7,6,GK,קרואטיה,3,270,0,0,0.0,6.31,1.0,1.0,0.0,0.0,0.0,Dominik Livakovic,0,1,0.444,1.7,1.05,ספרד,1.7,1.05,2.48,0.6,-0.267,0.98,2.136,"(0, 2)",4,1.396
יאן זומר,7,4,GK,שווייץ,3,270,0,0,0.0,6.26,1.0,1.0,0.0,0.0,0.0,Yann Sommer,0,1,0.608,1.9,0.8999999999999999,צרפת,1.9,0.8999999999999999,2.0,0.72,-0.317,1.086,1.826,"(1, 1)",4,2.396
קספר שמייכל,7,5,GK,דנמרק,3,270,0,0,0.0,5.73,1.0,1.0,0.0,0.0,0.0,Kasper Schmeichel,0,1,0.697,2.3,0.8999999999999999,וויילס,2.3,0.8999999999999999,1.0,0.8999999999999999,0.265,1.933,0.81,"(1, 0)",4,6.396
גיאורגי בושצ'אן,6,8,GK,אוקראינה,3,270,0,0,0.0,6.88,1.0,1.0,0.0,0.0,0.0,Georgi Bushchan,0,1,0.309,1.7,0.6,שבדיה,1.7,0.6,1.84,1.08,-0.318,1.152,1.538,"(1, 1)",4,2.396
רובין אולסן,6,13,GK,שבדיה,3,270,0,0,0.0,7.01,1.0,1.0,0.0,0.0,0.0,Robin Olsen,0,1,0.627,1.84,1.08,אוקראינה,1.84,1.08,1.7,0.6,0.318,1.538,1.152,"(1, 1)",4,2.396
תומאש ואצליק,6,10,GK,צ`כיה,3,270,0,0,0.0,6.83,1.0,1.0,0.0,0.0,0.0,Tomás Vaclik,0,1,0.397,1.3,1.65,הולנד,1.3,1.65,2.4,1.05,-0.298,0.984,2.511,"(0, 2)",4,1.396
דני וורד,5,10,GK,וויילס,3,270,0,0,0.0,7.12,1.0,1.0,0.0,0.0,0.0,Danny Ward,0,1,0.432,1.0,0.8999999999999999,דנמרק,1.0,0.8999999999999999,2.3,0.8999999999999999,-0.265,0.81,1.933,"(0, 1)",4,2.396
