,name_h,name_e,team,is_penalty_taker,is_starter
174,כריסטיאן נורגורד,Christian Nørgaard,דנמרק,0,0
175,מרטין בריית'ווייט,Martin Braithwaite,דנמרק,0,1
176,יונאס ווינד,Jonas Wind,דנמרק,0,0
177,יוסוף פולסן,Yussuf Poulsen,דנמרק,0,1
178,אנדראס קורנליוס,Andreas Cornelius,דנמרק,0,0
179,קספר דולברג,Kasper Dolberg,דנמרק,0,0
180,טים קרול,Tim Krul,הולנד,0,0
181,מרקו ביזוט,,הולנד,0,0
182,מארטן סטקלנבורך,Maarten Stekelenburg,הולנד,0,1
183,אואן וינדאל,Owen Wijndal,הולנד,0,0
184,דיילי בלינד,Daley Blind,הולנד,0,1
185,דנזל דמפריס,Denzel Dumfries,הולנד,0,1
186,מתייס דה ליכט,Matthijs de Ligt,הולנד,0,1
187,יואל פלטמן,Joël Veltman,הולנד,0,0
188,סטפן דה פריי,Stefan de Vrij,הולנד,0,1
189,נייתן אקה,Nathan Aké,הולנד,0,0
190,יוריין טימבר,Jurriën Timber,הולנד,0,0
191,פטריק ואן אנהולט,Patrick van Aanholt,הולנד,0,1
192,סטיבן ברחאוס,Steven Berghuis,הולנד,0,0
193,ג'ורג'יניו ווינאלדום,Georginio Wijnaldum,הולנד,0,1
194,דייבי קלאסן,Davy Klaassen,הולנד,0,0
195,קווינסי פרומס,Quincy Promes,הולנד,0,0
196,דוני ואן דה ביק,Donny van de Beek,הולנד,0,0
197,פרנקי דה יונג,Frenkie de Jong,הולנד,0,1
198,קודי גאקפו,Cody Gakpo,הולנד,0,0
199,מרטן דה רון,Marten de Roon,הולנד,0,0
200,ריאן חראוונברש,Ryan Gravenberch,הולנד,0,0
201,טון קופמיינרס,,הולנד,0,0
202,ממפיס דפאיי,Memphis Depay,הולנד,1,1
203,ואוט וחהורסט,Wout Weghorst,הולנד,0,0
204,לוק דה יונג,Luuk de Jong,הולנד,0,0
205,דונייל מאלן,Donyell Malen,הולנד,0,0
206,פיטר גולאצ'י,Péter Gulácsi,הונגריה,0,1
207,אדם בוגדן,,הונגריה,0,0
208,דנש דיבוס,Dénes Dibusz,הונגריה,0,0
209,אדם לאנג,Ádám Lang,הונגריה,0,0
210,אטילה סאלאי,Attila Szalai,הונגריה,0,1
211,אטילה פיולה, Attila Fiola,הונגריה,0,0
212,גרגו לוברנצ'יץ',Gergo Lovrencsics,הונגריה,0,0
213,ווילי אורבאן,Willi Orban,הונגריה,0,1
214,לויק נגו,Loic Nego,הונגריה,0,0
215,אנדרה בוטקה,Endre Botka,הונגריה,0,0
216,אקוש קצ'קש,Ákos Kecskés,הונגריה,0,0
217,בנדגוש בולה,,הונגריה,0,0
218,לאסלו קליינהייזלר,László Kleinheisler,הונגריה,0,1
219,פיליפ הולנדר,Filip Holender,הונגריה,0,0
220,קווין וארגה,Kevin Varga,הונגריה,0,0
221,אדם נאג'י,Ádám Nagy,הונגריה,0,1
222,אנדראס שאפר,András Schäfer,הונגריה,0,0
223,רולנד שאלאי,Roland Sallai,הונגריה,0,1
224,תמאס צ'רי,Tamas Cseri,הונגריה,0,0
225,דויד סיגר,Dávid Miklós Sigér,הונגריה,0,0
226,דניאל גזדג,Daniel Gazdag,הונגריה,0,0
227,סבולץ שון,Szabolcs Schön,הונגריה,0,0
228,רולנד ורגה,Roland Varga,הונגריה,0,0
229,אדם סאלאי,Ádám Szalai,הונגריה,1,1
230,נמניה ניקוליץ',Nemanja Nikolic,הונגריה,0,0
231,יאנוס האן,,הונגריה,0,0
232,דני וורד,Danny Ward,וויילס,0,1
233,וויין הנסי,,וויילס,0,0
234,אדם דייויס,Adam Davies,וויילס,0,0
235,בן דייויס,Ben Davies,וויילס,0,1
236,נקו וויליאמס,Neco Williams,וויילס,0,1
237,ג'ו רודון,Joe Rodon,וויילס,0,1
238,ג'יימס לורנס,James Lawrence,וויילס,0,0
239,כריס מפהאם,Chris Mepham,וויילס,0,1
240,קונור רוברטס,Connor Roberts,וויילס,0,1
241,כריס גאנטר,Chris Gunter,וויילס,0,0
242,בן קבאנגו,Ben Cabango,וויילס,0,0
243,ריס נורינגטון-דייויס,Rhys Norrington-Davies,וויילס,0,0
244,ארון ראמזי,Aaron Ramsey,וויילס,0,1
245,הארי ווילסון,Harry Wilson,וויילס,0,1
246,דייויד ברוקס,David Brooks,וויילס,0,0
247,דניאל ג'יימס,Daniel James,וויילס,0,1
248,ג'ונתן וויליאמס,Jonathan Williams,וויילס,0,0
249,אית'ן אמפאדו,Ethan Ampadu,וויילס,0,1
250,ג'ו אלן,Joe Allen,וויילס,0,0
251,ג'ו מורל,Joe Morrell,וויילס,0,1
252,דילן לוויט,Dylan Levitt,וויילס,0,0
253,מתיו סמית',Matthew Smith,וויילס,0,0
254,רובין קולוויל,,וויילס,0,0
255,גארת' בייל,Gareth Bale,וויילס,1,1
256,קיפר מור,Kieffer Moore,וויילס,0,1
257,טיילר רוברטס,Tyler Roberts,וויילס,0,0
258,אואורג'אן צ'אקיר,Ugurcan Çakir,טורקיה,0,1
259,אלטאי ביינדיר,,טורקיה,0,0
260,מרט גונוק,,טורקיה,0,0
261,אוזן קאבאק,Ozan Kabak,טורקיה,0,0
262,זקי צ'ליק,Mehmet Zeki Çelik,טורקיה,0,1
263,מריח דמיראל,Merih Demiral,טורקיה,0,0
264,צ'לאר סויונג'ו,Çaglar Söyüncü,טורקיה,0,1
265,קאן אייהאן,Kaan Ayhan,טורקיה,0,0
266,אומוט מראש,Umut Meras,טורקיה,0,1
267,מרט מולדר,Mert Müldür,טורקיה,0,0
268,רידבאן אילמאז,,טורקיה,0,0
269,הקאן צ'לאנולו,Hakan Calhanoglu,טורקיה,0,1
270,יוסוף יאזיצ'י,Yusuf Yazici,טורקיה,0,1
271,אוזאן טופאן,Ozan Tufan,טורקיה,0,1
272,ג'נגיז אונדר,Cengiz Ünder,טורקיה,0,0
273,אירפאן קאבג'י,Irfan Can Kahveci,טורקיה,0,0
274,עבדולקאדר עומור,Abdülkadir Ömür,טורקיה,0,0
275,אוקאי יוקושלו,Okay Yokuslu,טורקיה,0,1
276,אורקון קוקג'ו,Orkun Kökcü,טורקיה,0,0
277,טיילאן אנטליאלי,Taylan Antalyali,טורקיה,0,0
278,כרם אקטורקוגלו,,טורקיה,0,0
279,דורוחן טוקוז,Dorukhan Tokoz,טורקיה,0,0
280,בוראק אילמאז,Burak Yilmaz,טורקיה,1,1
281,קנאן קארמאן,Kenan Karaman,טורקיה,0,1
282,אנס אונאל,Enes Ünal,טורקיה,0,0
283,חליל דרויסוגלו,Halil Akbunar,טורקיה,0,0
284,מרטין דוברבקה,Martin Dúbravka,סלובקיה,0,1
285,דושאן קוציאק,Dusan Kuciak,סלובקיה,0,0
286,מארק רודאק,Marek Rodák,סלובקיה,0,0
287,מילאן שקריניאר,Milan Skriniar,סלובקיה,0,1
288,פטר פקאריק,Peter Pekarík,סלובקיה,0,1
289,דניס ואברו,Denis Vavro,סלובקיה,0,0
290,לובומיר שאטקה,Lubomír Satka,סלובקיה,0,1
291,יאקוב הולובק,Jakub Holúbek,סלובקיה,0,0
292,תומאש הובוצ'אן,Tomas Hubocan,סלובקיה,0,0
293,מארק האמשיק,Marek Hamsik,סלובקיה,1,1
294,ולדימיר וייס,,סלובקיה,0,0
295,אונדרי דודה,Ondrej Duda,סלובקיה,0,1
296,יוראי קוצקה,Juraj Kucka,סלובקיה,0,0
297,רוברט מאק,Róbert Mak,סלובקיה,0,1
298,אריק יירקה,,סלובקיה,0,0
299,לוקאש הראסלין,Lukás Haraslín,סלובקיה,0,0
300,לסלו בנס,,סלובקיה,0,0
301,פטריק הרושובסקי,Patrik Hrosovsky,סלובקיה,0,0
302,מאתוש ברו,Matús Bero,סלובקיה,0,0
303,סטניסלב לובוטקה,Stanislav Lobotka,סלובקיה,0,0
304,תומאש סוסלוב,Tomás Suslov,סלובקיה,0,0
305,דויד סטרלץ,David Strelec,סלובקיה,0,0
306,מיכאל ג'וריש,Michal Duris,סלובקיה,0,0
307,רוברט בוז'ניק,Róbert Bozeník,סלובקיה,0,0
308,אונאי סימון,Unai Simón,ספרד,0,1
309,דויד דה חאה,David de Gea,ספרד,0,0
310,רוברט סאנצ'ס,,ספרד,0,0
311,ג'ורדי אלבה,Jordi Alba,ספרד,0,1
312,מרקוס יורנטה,Marcos Llorente,ספרד,0,0
313,אמריק לאפורט,Aymeric Laporte,ספרד,0,1
314,פאו טורס,Pau Torres,ספרד,0,0
315,אריק גרסיה,Eric García,ספרד,0,0
316,ססאר אספיליקווטה,César Azpilicueta,ספרד,0,0
317,חוסה גאיה,José Gayà,ספרד,0,0
318,דייגו יורנטה,Diego Llorente,ספרד,0,0
319,פראן טורס,Ferran Torres,ספרד,0,0
320,דני אולמו,Dani Olmo,ספרד,0,0
321,מיקל אוירסבאל,Mikel Oyarzabal,ספרד,0,0
322,טיאגו אלקנטרה,Thiago,ספרד,0,0
323,פבלו סראביה,Pablo Sarabia,ספרד,0,0
324,פדרי,Pedri,ספרד,0,1
325,קוקה,Koke,ספרד,0,1
326,רודרי,Rodri,ספרד,0,1
327,אדאמה טראורה,Adama Traoré,ספרד,0,0
328,סרחיו בוסקטס,Sergio Busquets,ספרד,0,1
329,פביאן רואיס,Fabián Ruiz,ספרד,0,0
330,אלבארו מוראטה,Álvaro Morata,ספרד,1,1
331,ג'רארד מורנו,Gerard Moreno,ספרד,0,0
332,קרייג גורדון,Craig Gordon,סקוטלנד,0,0
333,ג'ון מקלולין,Kenny McLean,סקוטלנד,0,0
334,דייויד מרשל,David Marshall,סקוטלנד,0,1
335,אנדי רוברטסון,Andrew Robertson,סקוטלנד,0,1
336,גרנט הנלי,Grant Hanley,סקוטלנד,0,1
337,קירן טיירני,Kieran Tierney,סקוטלנד,0,1
338,ליאם קופר,Liam Cooper,סקוטלנד,0,0
339,סטפן אודונל,Stephen O'Donnell,סקוטלנד,0,1
340,סקוט מקנה,Scott McKenna,סקוטלנד,0,0
341,ג'ק הנדרי,Jack Hendry,סקוטלנד,0,1
342,גרג טיילור,Greg Taylor,סקוטלנד,0,0
343,דקלאן גלאגר,Declan Gallagher,סקוטלנד,0,0
344,נייתן פטרסון,Nathan Patterson,סקוטלנד,0,0
345,ג'ון מגין,John McGinn,סקוטלנד,0,1
346,ג'יימס פורסט,James Forrest,סקוטלנד,0,0
347,סקוט מקטומיניי,Scott McTominay,סקוטלנד,0,1
348,קווין ניסבט,Kevin Nisbet,סקוטלנד,0,0
349,ריאן פרייזר,Ryan Fraser,סקוטלנד,0,0
350,בילי גילמור,Billy Gilmour,סקוטלנד,0,0
351,דייויד טרנבול,,סקוטלנד,0,0
352,סטיוארט ארמסטרונג,Stuart Armstrong,סקוטלנד,0,0
353,קאלום מקרגור,Callum McGregor,סקוטלנד,0,1
354,ג'ון פלק,John Fleck,סקוטלנד,0,0
355,שה אדאמס,Che Adams,סקוטלנד,0,1
356,לינדון דייקס,Lyndon Dykes,סקוטלנד,0,0
357,ריאן כריסטי,Ryan Christie,סקוטלנד,1,0
358,ווייצ'ך שצ'סני,Wojciech Szczesny,פולין,0,1
359,לוקאש פביאנסקי,Lukasz Fabianski,פולין,0,0
360,לוקאש סקורופסקי,,פולין,0,0
361,ברטוש ברשינסקי,Bartosz Bereszynski,פולין,0,1
362,יאן בדנארק,Jan Bednarek,פולין,0,1
363,קמיל גליק,Kamil Glik,פולין,0,1
364,מאצ'יי ריבוס,Maciej Rybus,פולין,0,1
365,מיכל הליק,Michal Helik,פולין,0,1
366,תומאש קדזיורה,Tomasz Kedziora,פולין,0,0
367,טימותיש פושאץ',,פולין,0,0
368,פאבל דוידוביץ',Pawel Dawidowicz,פולין,0,0
369,קמיל פיאטקובסקי,Kamil Piatkowski,פולין,0,0
370,פיוטר זיילינסקי,Piotr Zielinski,פולין,0,1
371,גז'גוז' קריכוביאק,Grzegorz Krychowiak,פולין,0,0
372,יאקוב מודר,Jakub Moder,פולין,0,0
373,מתאוש קליש,Mateusz Klich,פולין,0,1
374,קרול לינטי,Karol Linetty,פולין,0,0
375,פז'מיסלאב פרנקובסקי,Przemyslaw Placheta,פולין,0,0
376,פז'מיסלב פלאשטה,Przemyslaw Placheta,פולין,0,0
377,קספר קוזלובסקי,Kacper Kozlowski,פולין,0,0
378,רוברט לבנדובסקי,Robert Lewandowski,פולין,1,1
379,ארקדיוש מיליק,Arkadiusz Milik,פולין,0,1
380,דויד קובנצקי,,פולין,0,0
381,יאקוב סויירצ'וק,,פולין,0,0
382,קרול סוידרסקי,Karol Swiderski,פולין,0,0
383,רוי פטריסיו,Rui Patrício,פורטוגל,0,1
384,אנתוני לופס,Anthony Lopes,פורטוגל,0,0
385,רוי סילבה,,פורטוגל,0,0
386,ז'ואאו קאנסלו,João Cancelo,פורטוגל,0,0
387,רובן דיאס,Rúben Dias,פורטוגל,0,1
388,רפאל גריירו,Raphael Guerreiro,פורטוגל,0,1
389,פפה,Pepe,פורטוגל,0,1
390,ז'וזה פונטה,José Fonte,פורטוגל,0,0
391,נונו מנדש,Nuno Mendes,פורטוגל,0,0
392,נלסון סמדו,Nélson Semedo,פורטוגל,0,1
393,ברונו פרננדש,Bruno Fernandes,פורטוגל,0,1
394,ברנרדו סילבה,Bernardo Silva,פורטוגל,0,1
395,גונסאלו גדס,Gonçalo Guedes,פורטוגל,0,0
396,סרחיו אוליביירה,Sérgio Oliveira,פורטוגל,0,0
397,רפא סילבה,Rafa,פורטוגל,0,0
398,ז'ואאו מוטיניו,João Moutinho,פורטוגל,0,1
399,פדרו גונסאלבש,,פורטוגל,0,0
400,רובן נבס,Rúben Neves,פורטוגל,0,0
401,רנאטו סאנצ'ס,Renato Sanches,פורטוגל,0,0
402,דנילו פריירה,Danilo Pereira,פורטוגל,0,1
403,וויליאם קרבאליו,William Carvalho,פורטוגל,0,0
404,ז'ואאו פלהיניה,João Palhinha,פורטוגל,0,0
